County,Unemp_2016,Unemp_2017,Unemp_2018,Unemp_2019,Unemp_2020
Anderson,4.3,3.7,3.1,2.9,5.6
Andrews,4.7,3.1,2.4,2.3,8.2
Angelina,5.9,5.1,4.4,4.0,7.6
Aransas,5.6,6.9,6.0,4.3,8.5
Archer,4.3,3.4,3.1,2.8,5.3
Armstrong,2.8,2.6,2.7,2.7,4.3
Atascosa,5.3,4.3,3.8,3.6,8.4
Austin,5.3,4.4,3.7,3.4,6.6
Bailey,4.4,4.3,4.4,3.7,4.8
Bandera,4.1,3.6,3.4,3.3,5.8
Bastrop,3.7,3.6,3.4,3.1,6.0
Baylor,3.6,3.4,3.2,2.3,3.5
Bee,7.5,6.5,5.1,4.4,9.8
Bell,4.5,4.3,4.2,3.8,7.0
Bexar,3.8,3.6,3.4,3.1,7.5
Blanco,3.1,2.8,2.6,2.4,3.8
Borden,3.6,3.7,3.2,2.5,3.3
Bosque,4.3,4.0,3.7,3.4,5.5
Bowie,4.7,4.6,5.0,4.4,7.4
Brazoria,5.2,5.3,4.6,4.2,8.6
Brazos,3.5,3.1,2.9,2.7,5.3
Brewster,3.8,3.5,3.4,2.9,6.7
Briscoe,4.4,4.3,3.9,3.6,4.8
Brooks,11.8,8.3,6.4,5.1,10.7
Brown,4.4,3.9,3.7,3.7,6.5
Burleson,4.7,4.2,3.6,3.1,6.3
Burnet,3.5,3.2,2.9,2.7,4.7
Caldwell,4.3,3.9,3.7,3.4,6.3
Calhoun,5.6,5.8,4.1,3.2,5.8
Callahan,4.3,3.7,3.4,3.1,5.4
Cameron,7.2,7.0,6.2,5.5,10.2
Camp,6.9,5.7,4.9,4.2,7.4
Carson,3.3,3.2,2.8,2.6,4.2
Cass,7.2,6.0,5.1,4.3,7.9
Castro,3.1,3.3,2.9,2.8,3.6
Chambers,6.1,6.5,5.4,4.5,9.5
Cherokee,5.1,4.6,4.1,3.8,7.9
Childress,3.0,3.0,2.6,2.7,3.7
Clay,4.4,3.5,3.2,3.1,5.5
Cochran,5.0,4.6,4.4,3.5,7.1
Coke,4.1,3.7,3.4,3.2,5.5
Coleman,5.8,4.5,3.9,4.1,7.4
Collin,3.5,3.5,3.3,3.1,6.3
Collingsworth,3.5,3.6,3.1,3.1,4.3
Colorado,4.7,4.0,3.3,3.1,5.6
Comal,3.6,3.4,3.2,3.0,6.2
Comanche,4.3,3.7,3.6,3.2,5.5
Concho,3.4,4.2,3.6,3.2,4.5
Cooke,4.0,3.6,3.1,2.8,7.1
Coryell,4.7,4.4,4.2,4.0,6.6
Cottle,5.1,4.2,4.3,4.2,4.9
Crane,8.6,5.3,3.9,4.0,13.6
Crockett,7.5,4.1,2.9,2.9,8.9
Crosby,4.4,4.2,4.7,3.9,5.2
Culberson,4.1,3.7,3.1,4.1,6.5
Dallam,2.2,2.2,2.1,2.0,2.8
Dallas,4.0,3.9,3.8,3.5,7.7
Dawson,5.0,4.9,4.3,3.9,8.7
Deaf Smith,3.1,3.1,2.8,2.7,3.6
Delta,3.8,3.4,3.5,3.4,5.5
Denton,3.4,3.4,3.2,3.0,6.5
DeWitt,5.5,4.4,3.1,2.6,6.0
Dickens,4.9,4.9,4.3,4.3,6.3
Dimmit,7.1,5.1,3.0,2.5,6.4
Donley,4.0,3.7,3.5,3.4,4.4
Duval,10.9,7.7,5.3,4.4,12.1
Eastland,5.5,4.3,3.4,3.3,6.7
Ector,6.4,4.1,2.7,2.7,11.0
Edwards,4.6,3.2,2.8,2.3,3.5
Ellis,3.8,3.5,3.3,3.1,6.0
El Paso,5.0,4.7,4.2,3.8,8.3
Erath,4.1,3.4,3.1,3.2,5.7
Falls,4.4,4.3,3.9,3.3,6.0
Fannin,3.8,3.4,3.1,2.7,4.7
Fayette,3.7,3.2,2.8,2.6,4.7
Fisher,4.3,3.6,3.2,2.9,4.5
Floyd,5.0,5.5,5.2,4.4,6.2
Foard,3.7,3.5,2.9,2.9,4.2
Fort Bend,5.0,4.7,4.0,3.5,7.7
Franklin,4.9,4.7,4.2,3.6,5.3
Freestone,6.7,6.4,5.9,4.8,8.3
Frio,4.9,4.0,2.9,2.6,5.7
Gaines,3.7,3.1,2.6,2.4,5.6
Galveston,5.3,5.3,4.7,4.0,8.7
Garza,3.9,3.3,3.0,2.6,6.8
Gillespie,2.8,2.6,2.6,2.4,4.8
Glasscock,3.9,2.7,2.1,2.3,3.6
Goliad,5.8,4.9,3.8,3.4,7.7
Gonzales,4.2,3.5,3.0,2.7,5.4
Gray,6.9,5.3,3.9,3.6,8.1
Grayson,3.9,3.6,3.3,3.1,5.9
Gregg,6.1,5.2,4.1,3.7,8.3
Grimes,6.6,5.4,4.1,4.0,8.0
Guadalupe,3.6,3.4,3.2,3.0,6.1
Hale,5.6,5.2,4.8,4.4,6.8
Hall,6.7,6.2,4.4,4.1,5.8
Hamilton,4.9,4.0,3.3,3.0,4.5
Hansford,3.1,2.6,2.3,2.3,3.5
Hardeman,3.9,4.0,3.6,3.0,4.4
Hardin,6.1,6.2,5.2,4.6,9.0
Harris,5.3,5.1,4.4,3.9,8.9
Harrison,6.0,5.3,4.4,4.0,7.9
Hartley,2.0,2.0,1.8,1.6,2.1
Haskell,4.2,4.8,3.9,3.2,4.3
Hays,3.3,3.2,3.0,2.8,6.3
Hemphill,3.7,2.5,2.1,2.6,4.4
Henderson,4.7,4.2,3.8,3.5,6.4
Hidalgo,7.8,7.5,6.6,6.3,11.6
Hill,4.4,4.0,3.7,3.3,6.3
Hockley,4.7,3.7,3.1,2.9,7.9
Hood,4.7,4.2,3.7,3.4,6.6
Hopkins,4.0,3.6,3.4,3.1,5.1
Houston,4.6,4.4,3.7,3.1,5.3
Howard,5.5,4.3,3.3,3.1,8.1
Hudspeth,6.0,5.8,4.6,4.4,8.0
Hunt,4.3,4.0,3.8,3.6,6.5
Hutchinson,5.6,6.1,5.0,4.4,7.2
Irion,3.2,3.2,3.1,2.4,6.0
Jack,5.0,3.7,2.5,3.1,7.0
Jackson,4.7,4.0,3.3,3.0,5.8
Jasper,7.7,7.5,6.6,6.1,11.2
Jeff Davis,3.0,3.2,2.9,3.0,5.1
Jefferson,7.0,7.4,6.4,5.8,11.9
Jim Hogg,9.6,7.3,5.7,4.8,9.5
Jim Wells,10.6,7.6,5.5,4.7,13.0
Johnson,4.4,3.8,3.5,3.2,6.5
Jones,5.8,5.4,4.8,4.2,7.0
Karnes,4.9,3.5,2.9,2.5,6.3
Kaufman,3.8,3.6,3.5,3.2,6.5
Kendall,3.2,3.1,2.9,2.7,5.0
Kenedy,4.6,3.3,3.7,3.5,5.4
Kent,3.0,2.6,2.4,2.3,3.9
Kerr,3.6,3.4,3.2,2.9,5.9
Kimble,3.8,3.5,3.0,3.0,5.1
King,3.9,3.6,2.8,2.1,1.7
Kinney,5.8,5.6,4.4,3.6,6.0
Kleberg,6.7,6.0,5.0,4.3,8.4
Knox,4.2,4.0,3.6,3.2,5.6
Lamar,4.6,4.2,3.8,3.4,6.5
Lamb,6.5,5.2,4.4,3.8,5.2
Lampasas,4.2,3.8,3.8,3.3,5.4
La Salle,5.1,3.7,2.4,2.4,6.8
Lavaca,4.2,3.6,3.1,3.0,5.2
Lee,3.8,3.3,3.1,2.6,4.9
Leon,6.5,6.4,5.0,4.4,7.8
Liberty,7.5,7.2,5.8,5.0,10.6
Limestone,5.6,5.6,4.7,3.8,7.1
Lipscomb,4.4,3.2,2.7,2.6,4.2
Live Oak,5.9,4.7,3.8,3.1,7.5
Llano,4.2,3.8,3.7,3.5,5.7
Loving,4.7,5.0,1.5,0.8,1.7
Lubbock,3.4,3.2,3.1,2.8,5.7
Lynn,4.0,3.8,3.3,3.0,5.4
McCulloch,4.5,3.6,3.3,5.2,7.5
McLennan,4.0,3.9,3.6,3.3,6.2
McMullen,2.1,1.9,2.0,1.6,2.8
Madison,5.1,4.8,4.4,4.2,7.2
Marion,7.0,5.7,4.5,4.2,8.2
Martin,4.4,3.2,2.5,2.6,6.1
Mason,3.6,3.4,3.1,3.2,5.6
Matagorda,7.3,7.3,6.2,5.7,10.5
Maverick,11.3,9.4,8.2,7.6,15.0
Medina,4.4,3.9,3.5,3.2,6.3
Menard,4.5,4.8,4.1,3.5,5.2
Midland,4.4,3.0,2.1,2.1,8.1
Milam,5.2,5.1,5.5,5.0,7.1
Mills,4.2,3.6,3.5,3.2,4.1
Mitchell,7.0,5.5,4.2,3.7,7.9
Montague,5.0,4.0,3.2,2.9,6.6
Montgomery,4.9,4.4,3.8,3.4,7.5
Moore,3.0,2.9,2.7,2.3,3.8
Morris,10.9,8.7,6.6,5.3,11.4
Motley,3.5,3.6,3.7,3.4,4.6
Nacogdoches,4.7,4.3,3.9,3.7,6.6
Navarro,4.2,4.0,3.7,3.3,6.2
Newton,7.9,8.0,6.7,6.3,11.0
Nolan,4.8,4.1,3.3,2.9,5.3
Nueces,5.6,5.4,4.7,4.1,9.0
Ochiltree,5.3,3.6,2.8,2.7,5.8
Oldham,3.0,2.5,2.6,2.9,3.9
Orange,6.7,7.0,5.8,5.1,10.5
Palo Pinto,5.5,4.1,3.4,3.1,7.0
Panola,7.2,5.5,4.2,4.0,8.4
