County_Name,NAICS_Description,Firms,Establishments,Employment,Annual_Payroll
Anderson,Accommodation,13,13,72,1434
Anderson,Accommodation and Food Services,4915,4916,270581,41287624
Anderson,Clothing and Clothing Accessories Stores,6,6,22,268
Anderson,Food Services and Drinking Places,3613,3613,198525,26946747
Anderson,Food and Beverage Stores,9,9,36,565
Anderson,Retail Trade,797,7910,335221,90267307
Andrews,Accommodation,4,4,29,545
Andrews,Accommodation and Food Services,246,246,162152,26172378
Andrews,Clothing and Clothing Accessories Stores,4,4,15,365
Andrews,Food Services and Drinking Places,205,205,133134,20721963
Andrews,Retail Trade,193,193,8489,23555503
Angelina,Accommodation,133,133,8351,1353667
Angelina,Accommodation and Food Services,6929,6932,4761003,763315349
Angelina,Clothing and Clothing Accessories Stores,13,13,40,1089
Angelina,Food Services and Drinking Places,5626,5629,393952,628014682
Angelina,Food and Beverage Stores,10,10,27,630
Angelina,Retail Trade,13228,13231,563785,1598233502
Aransas,Accommodation,273,273,12859,3063929
Aransas,Accommodation and Food Services,6311,6311,401316,82766234
Aransas,Clothing and Clothing Accessories Stores,6,6,21,485
Aransas,Food Services and Drinking Places,368,368,273257,52135305
Aransas,Food and Beverage Stores,4,4,3,128
Aransas,Retail Trade,374,384,140142,40587128
Archer,Accommodation and Food Services,3,3,17,207
Archer,Food Services and Drinking Places,3,3,17,207
Archer,Food and Beverage Stores,3,3,7,44
Archer,Retail Trade,14,14,51,1151
Atascosa,Accommodation,143,143,4769,9092357
Atascosa,Accommodation and Food Services,4616,4621,208548,33129527
Atascosa,Clothing and Clothing Accessories Stores,5,5,7,161
Atascosa,Food Services and Drinking Places,3213,3218,161479,24037170
Atascosa,Food and Beverage Stores,13,13,64,713
Atascosa,Retail Trade,719,7112,365235,92319572
Austin,Accommodation,10,10,53,825
Austin,Accommodation and Food Services,418,418,250244,37194580
Austin,Clothing and Clothing Accessories Stores,8,8,29,321
Austin,Food Services and Drinking Places,318,318,197244,28944580
Austin,Food and Beverage Stores,133,133,50125,10452824
Austin,Retail Trade,7110,7110,272296,768710575
Bailey,Accommodation,3,3,7,146
Bailey,Accommodation and Food Services,104,104,43149,6052446
Bailey,Food Services and Drinking Places,74,74,36149,4592446
Bailey,Retail Trade,11,11,46,1323
Bandera,Accommodation,115,115,41175,15523449
Bandera,Accommodation and Food Services,3311,3312,135342,28145496
