County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Anderson,Accommodation,2: <20 employees,13,13,72,1434
Anderson,Retail Trade,2: <20 employees3: 20-99 employees,797,7910,335221,90267307
Anderson,Food and Beverage Stores,2: <20 employees,9,9,36,565
Anderson,Total,,816,891,12216,439936
Anderson,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,22,268
Anderson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4915,4916,270581,41287624
Anderson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3613,3613,198525,26946747
Andrews,Accommodation,2: <20 employees,4,4,29,545
Andrews,Accommodation and Food Services,2: <20 employees3: 20-99 employees,246,246,162152,26172378
Andrews,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,15,365
Andrews,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,205,205,133134,20721963
Andrews,Retail Trade,2: <20 employees3: 20-99 employees,193,193,8489,23555503
Andrews,Total,,411,432,5757,375343
Angelina,Retail Trade,2: <20 employees3: 20-99 employees,13228,13231,563785,1598233502
Angelina,Food and Beverage Stores,2: <20 employees,10,10,27,630
Angelina,Total,,1656,1857,29102,1048665
Angelina,Clothing and Clothing Accessories Stores,2: <20 employees,13,13,40,1089
Angelina,Accommodation,2: <20 employees3: 20-99 employees,133,133,8351,1353667
Angelina,Accommodation and Food Services,2: <20 employees3: 20-99 employees,6929,6932,4761003,763315349
Angelina,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,5626,5629,393952,628014682
Aransas,Accommodation,2: <20 employees3: 20-99 employees,273,273,12859,3063929
Aransas,Accommodation and Food Services,2: <20 employees3: 20-99 employees,6311,6311,401316,82766234
Aransas,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,21,485
Aransas,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,368,368,273257,52135305
Aransas,Food and Beverage Stores,2: <20 employees,4,4,3,128
Aransas,Retail Trade,2: <20 employees3: 20-99 employees,374,384,140142,40587128
Aransas,Total,,466,487,3883,135005
Archer,Total,,209,215,1270,46765
Archer,Food Services and Drinking Places,2: <20 employees,3,3,17,207
Archer,Food and Beverage Stores,2: <20 employees,3,3,7,44
Archer,Retail Trade,2: <20 employees,14,14,51,1151
Archer,Accommodation and Food Services,2: <20 employees,3,3,17,207
Armstrong,Total,,48,49,268,9643
Atascosa,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4616,4621,208548,33129527
Atascosa,Accommodation,2: <20 employees3: 20-99 employees,143,143,4769,9092357
Atascosa,Total,,765,830,11918,625835
Atascosa,Clothing and Clothing Accessories Stores,2: <20 employees,5,5,7,161
Atascosa,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3213,3218,161479,24037170
Atascosa,Food and Beverage Stores,2: <20 employees,13,13,64,713
Atascosa,Retail Trade,2: <20 employees3: 20-99 employees,719,7112,365235,92319572
Austin,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,318,318,197244,28944580
Austin,Food and Beverage Stores,2: <20 employees3: 20-99 employees,133,133,50125,10452824
Austin,Retail Trade,2: <20 employees3: 20-99 employees,7110,7110,272296,768710575
Austin,Accommodation and Food Services,2: <20 employees3: 20-99 employees,418,418,250244,37194580
Austin,Total,,653,684,7572,323956
Austin,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,29,321
Austin,Accommodation,2: <20 employees,10,10,53,825
Bailey,Accommodation,2: <20 employees,3,3,7,146
Bailey,Accommodation and Food Services,2: <20 employees3: 20-99 employees,104,104,43149,6052446
Bailey,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,74,74,36149,4592446
Bailey,Retail Trade,2: <20 employees,11,11,46,1323
Bailey,Total,,136,144,1376,45066
Bandera,Food and Beverage Stores,2: <20 employees,5,5,14,274
Bandera,Retail Trade,2: <20 employees3: 20-99 employees,464,464,19247,39481857
Bandera,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,226,227,94167,12622047
Bandera,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,29,403
Bandera,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3311,3312,135342,28145496
Bandera,Total,,375,381,3045,92231
Bandera,Accommodation,2: <20 employees3: 20-99 employees,115,115,41175,15523449
Bastrop,Total,,1272,1385,15145,503951
Bastrop,Food and Beverage Stores,2: <20 employees,27,28,108,1820
Bastrop,Accommodation,2: <20 employees,18,18,120,2211
Bastrop,Accommodation and Food Services,2: <20 employees3: 20-99 employees,8320,8320,545732,850110748
Bastrop,Clothing and Clothing Accessories Stores,2: <20 employees,8,8,54,1142
Bastrop,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,6520,6520,425732,629010748
Bastrop,Retail Trade,2: <20 employees3: 20-99 employees,13114,13214,504399,1193315582
Baylor,Accommodation,2: <20 employees,3,3,18,282
Baylor,Total,,99,101,817,20960
Baylor,Retail Trade,2: <20 employees,6,6,37,821
Baylor,Food Services and Drinking Places,2: <20 employees,6,6,38,480
Baylor,Accommodation and Food Services,2: <20 employees,9,9,56,762
Bee,Clothing and Clothing Accessories Stores,2: <20 employees,6,6,22,427
Bee,Accommodation and Food Services,2: <20 employees3: 20-99 employees,367,3611,206266,32653708
Bee,Accommodation,2: <20 employees,12,12,73,1119
Bee,Retail Trade,2: <20 employees3: 20-99 employees,384,384,200106,51784151
Bee,Food and Beverage Stores,2: <20 employees,3,3,7,119
Bee,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,247,2411,133266,21463708
Bee,Total,,433,462,5020,174131
Bell,Total,,4238,5249,96534,4072237
Bell,Food and Beverage Stores,2: <20 employees3: 20-99 employees,736,786,233162,39443538
Bell,Accommodation,2: <20 employees3: 20-99 employees,5012,5013,293374,50516270
Bell,Accommodation and Food Services,2: <20 employees3: 20-99 employees,325107,326126,20124123,2914553763
Bell,Clothing and Clothing Accessories Stores,2: <20 employees,41,41,157,2769
Bell,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,27595,276113,17193749,2409447493
Bell,Retail Trade,2: <20 employees3: 20-99 employees,39554,40464,15671514,3632059339
Bexar,Food and Beverage Stores,2: <20 employees3: 20-99 employees,34723,34936,1191847,2415718348
Bexar,Accommodation,2: <20 employees3: 20-99 employees,20758,20863,12871870,2430932081
Bexar,Accommodation and Food Services,2: <20 employees3: 20-99 employees,1927625,1940698,1134624818,217976429214
