County,population,pct_chg_10_20
Anderson,59120,1.1
Andrews,19588,32.5
Angelina,90669,4.5
Aransas,23649,2.1
Archer,9135,0.9
Armstrong,2028,6.7
Atascosa,51233,14.1
Austin,32344,13.8
Bailey,7082,-1.2
Bandera,23360,14.0
Bastrop,90262,21.7
Baylor,3754,0.8
Bee,33571,5.4
Bell,362093,16.7
Bexar,2006193,17.0
Blanco,12365,17.8
Borden,686,7.0
Bosque,19146,5.1
Bowie,95897,3.6
Brazoria,382874,22.3
Brazos,233071,19.6
Brewster,9055,-1.9
Briscoe,1599,-2.3
Brooks,7060,-2.3
Brown,38874,2.0
Burleson,18361,6.8
Burnet,49225,15.1
Caldwell,43501,14.3
Calhoun,22058,3.2
Callahan,14027,3.6
Cameron,426144,4.9
Camp,12936,4.3
Carson,5875,-5.0
Cass,30243,-0.7
Castro,7260,-9.9
Chambers,44944,28.1
Cherokee,53558,5.3
Childress,7052,0.2
Clay,10317,-4.0
Cochran,2890,-7.6
Coke,3400,2.4
Coleman,8041,-9.6
Collin,1047901,33.9
Collingsworth,2802,-8.3
Colorado,22566,8.1
Comal,161328,48.7
Comanche,13848,-0.9
Concho,2715,-33.6
Cooke,40685,5.8
Coryell,75657,0.4
Cottle,1346,-10.6
Crane,4670,6.7
Crockett,3465,-6.8
Crosby,5658,-6.6
Culberson,2228,-7.1
Dallam,6929,3.4
Dallas,2647627,11.8
Dawson,12652,-8.5
Deaf Smith,19572,1.0
Delta,5304,1.4
Denton,904005,36.4
De Witt,20459,1.8
Dickens,2054,-16.0
Dimmit,9426,-5.7
Donley,3170,-13.8
Duval,10860,-7.8
Eastland,18278,-1.6
Ector,169394,23.5
Edwards,1979,-1.1
Ellis,191469,28.0
El Paso,851888,6.4
Erath,43110,13.8
Falls,17432,-2.4
Fannin,36727,8.3
Fayette,26522,8.0
Fisher,3897,-1.9
Floyd,5445,-15.5
Foard,1102,-17.5
Fort Bend,818912,39.9
Franklin,10792,1.8
Freestone,20732,4.6
Frio,18937,10.0
Gaines,21258,21.3
Galveston,341146,17.1
Garza,5978,-7.5
Gillespie,27617,11.2
Glasscock,1363,11.2
Goliad,8127,12.7
Gonzales,20819,5.1
Gray,21900,-2.8
Grayson,136052,12.6
Gregg,126225,3.7
