,County_Name,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
10,Anderson,39.2,38.5,41.0
22,Andrews,31.7,30.9,32.5
34,Angelina,37.4,36.5,38.2
46,Aransas,51.3,49.7,52.7
58,Archer,44.1,42.6,45.4
70,Armstrong,44.7,43.7,45.7
82,Atascosa,35.7,34.7,36.5
94,Austin,41.3,40.8,41.9
106,Bailey,33.3,33.3,33.2
118,Bandera,52.7,52.0,53.4
130,Bastrop,38.3,37.6,39.1
142,Baylor,43.5,41.4,46.9
154,Bee,35.2,34.7,36.1
166,Bell,31.3,30.0,32.7
178,Bexar,33.8,32.6,35.0
190,Blanco,50.0,48.5,51.5
202,Borden,48.7,48.1,49.0
214,Bosque,46.6,45.4,47.7
226,Bowie,38.1,36.5,39.7
238,Brazoria,35.9,35.3,36.4
250,Brazos,26.9,26.2,27.6
262,Brewster,43.3,42.8,43.8
274,Briscoe,45.9,45.5,46.5
286,Brooks,35.2,32.3,37.9
298,Brown,41.2,40.0,42.6
310,Burleson,43.7,43.5,43.8
322,Burnet,44.5,43.3,45.7
334,Caldwell,36.1,34.7,37.7
346,Calhoun,38.7,37.8,39.7
358,Callahan,43.3,42.4,44.3
370,Cameron,32.1,30.1,34.0
382,Camp,38.0,37.2,38.7
394,Carson,41.2,40.7,41.6
406,Cass,44.2,42.7,45.6
418,Castro,35.0,35.0,35.0
430,Chambers,35.2,34.7,35.6
442,Cherokee,38.1,36.7,39.4
454,Childress,33.3,30.1,41.3
466,Clay,47.3,46.8,47.8
478,Cochran,36.1,35.7,36.6
490,Coke,47.7,46.5,48.6
502,Coleman,47.5,47.2,47.7
514,Collin,36.9,36.2,37.7
526,Collingsworth,37.7,36.8,39.3
538,Colorado,43.2,41.5,44.9
550,Comal,41.8,40.8,42.8
562,Comanche,45.4,44.3,46.2
574,Concho,49.0,47.6,50.0
586,Cooke,40.0,38.3,41.8
598,Coryell,32.3,30.4,34.2
610,Cottle,44.8,40.7,47.9
622,Crane,33.6,32.8,34.6
634,Crockett,39.2,40.4,38.7
646,Crosby,38.1,37.1,39.2
658,Culberson,42.1,38.7,45.3
670,Dallam,31.3,30.6,32.2
682,Dallas,33.6,32.7,34.4
694,Dawson,33.8,32.0,37.2
706,Deaf Smith,31.3,30.4,32.3
718,Delta,42.4,42.0,43.1
730,Denton,35.8,35.2,36.4
742,DeWitt,41.7,40.5,43.7
754,Dickens,42.4,38.1,47.4
766,Dimmit,34.9,33.4,36.4
778,Donley,42.5,39.8,44.8
790,Duval,36.8,35.4,38.3
802,Eastland,42.5,40.6,44.5
814,Ector,30.6,30.1,31.1
826,Edwards,47.8,47.3,48.6
838,Ellis,36.2,35.1,37.1
850,El Paso,32.5,30.7,34.4
862,Erath,31.1,30.9,31.4
874,Falls,39.8,39.2,40.4
886,Fannin,41.1,39.2,43.4
898,Fayette,47.5,46.6,48.6
910,Fisher,46.3,45.1,47.1
922,Floyd,37.4,36.3,38.6
934,Foard,49.0,48.8,49.3
946,Fort Bend,36.5,35.7,37.1
958,Franklin,43.1,42.3,43.9
970,Freestone,41.8,41.1,42.8
982,Frio,31.4,30.3,34.6
994,Gaines,28.5,28.4,28.5
1006,Galveston,37.9,36.9,38.8
1018,Garza,34.0,31.7,38.6
1030,Gillespie,50.2,48.5,51.7
1042,Glasscock,37.0,35.3,39.0
1054,Goliad,45.7,44.6,46.6
1066,Gonzales,37.0,35.7,38.4
1078,Gray,37.5,37.3,37.7
1090,Grayson,39.3,38.1,40.7
1102,Gregg,35.9,34.3,37.5
1114,Grimes,40.6,39.9,41.5
1126,Guadalupe,37.1,36.2,38.0
1138,Hale,33.1,32.1,34.4
1150,Hall,43.6,42.1,44.8
1162,Hamilton,45.2,42.5,47.2
1174,Hansford,34.0,32.3,36.0
1186,Hardeman,43.9,42.5,45.7
1198,Hardin,39.0,37.7,40.3
1210,Harris,33.7,33.0,34.4
1222,Harrison,38.3,37.3,39.3
1234,Hartley,40.1,40.2,39.8
1246,Haskell,42.5,39.3,46.5
1258,Hays,32.3,31.7,32.9
1270,Hemphill,36.4,35.5,37.3
1282,Henderson,44.1,42.4,45.8
1294,Hidalgo,29.4,28.2,30.8
1306,Hill,41.4,40.2,42.8
1318,Hockley,34.3,33.0,35.7
1330,Hood,46.4,44.8,47.8
1342,Hopkins,39.4,37.8,41.0
1354,Houston,44.3,43.0,46.5
1366,Howard,37.0,37.2,36.8
1378,Hudspeth,34.4,34.8,34.1
1390,Hunt,38.0,37.1,38.9
1402,Hutchinson,37.8,37.4,38.4
1414,Irion,44.2,43.5,45.5
1426,Jack,38.4,36.6,41.7
1438,Jackson,37.9,37.3,38.6
1450,Jasper,41.2,39.5,42.9
1462,Jeff Davis,58.3,58.5,58.1
1474,Jefferson,36.4,35.4,37.6
1486,Jim Hogg,34.5,32.9,36.4
1498,Jim Wells,35.0,33.6,36.4
