County,Rural
Anderson,1
Andrews,1
Aransas,0
Archer,1
Armstrong,1
Atascosa,1
Austin,1
Bailey,1
Bandera,1
Baylor,1
Bee,0
Blanco,1
Borden,1
Bosque,0
Brewster,0
Briscoe,1
Brooks,1
Brown,1
Burleson,0
Burnet,0
Caldwell,0
Calhoun,1
Callahan,1
Camp,1
Carson,1
Cass,1
Castro,1
Chambers,1
Childress,1
Clay,1
Cochran,0
Coke,1
Coleman,1
Collingsworth,1
Colorado,1
Comanche,1
Concho,0
Cooke,1
Cottle,1
Crane,1
Crockett,1
Crosby,1
Culberson,0
Dallam,1
Dawson,1
Deaf Smith,0
Delta,1
DeWitt,1
Dickens,1
Dimmit,0
Donley,1
Duval,1
Eastland,1
Edwards,1
Erath,1
Falls,1
Fannin,0
Fayette,1
Fisher,1
Floyd,1
Foard,0
Franklin,1
Freestone,1
Frio,1
Gaines,1
Garza,1
Gillespie,1
Glasscock,0
Goliad,1
Gonzales,0
Gray,0
Grimes,1
Hale,1
Hall,1
Hamilton,1
Hansford,1
Hardeman,1
Hartley,1
Haskell,0
Hemphill,1
Hill,1
Hockley,1
Hopkins,1
Houston,0
Howard,1
Hudspeth,1
Hutchinson,1
Irion,1
Jack,1
Jackson,1
Jasper,0
Jeff Davis,0
Jim Hogg,1
Jim Wells,0
Jones,1
Karnes,1
Kendall,1
Kenedy,1
Kent,1
Kimble,0
King,0
Kinney,0
Kleberg,1
Knox,1
La Salle,0
Lamar,1
Lamb,0
Lampasas,0
Lavaca,1
Lee,1
Leon,0
Limestone,1
Lipscomb,1
Live Oak,1
Llano,1
Loving,0
Lynn,1
Madison,1
Marion,1
Martin,1
Mason,1
Matagorda,1
McCulloch,0
McMullen,1
Medina,1
Menard,0
Milam,1
Mills,1
Mitchell,0
Montague,1
Moore,1
Morris,1
Motley,0
Navarro,1
Newton,1
Nolan,1
Ochiltree,1
Oldham,1
Palo Pinto,1
Panola,1
Parmer,1
Pecos,1
Polk,1
Presidio,1
Rains,1
Reagan,0
Real,1
Red River,1
Reeves,1
Refugio,1
Roberts,1
Robertson,0
Runnels,1
Sabine,1
San Augustine,0
San Jacinto,1
San Saba,1
Schleicher,1
Scurry,1
Shackelford,1
Shelby,1
Sherman,0
Somervell,1
Stephens,1
Sterling,0
Stonewall,1
Sutton,1
Swisher,1
Terrell,1
Terry,0
Throckmorton,1
Titus,1
Trinity,1
Tyler,0
Upshur,1
Upton,1
Uvalde,1
Val Verde,0
Ward,1
Washington,1
Wharton,0
Wheeler,1
Wilbarger,1
Willacy,0
Wilson,1
Winkler,1
Wood,1
Yoakum,0
Young,1
Zapata,1
