County,Tot_Annual_Payroll
Anderson,439936
Andrews,375343
Angelina,1048665
Aransas,135005
Archer,46765
Armstrong,9643
Atascosa,625835
Austin,323956
Bailey,45066
Bandera,92231
Bastrop,503951
Baylor,20960
Bee,174131
Bell,4072237
Bexar,36075718
Blanco,109411
Borden,949
Bosque,84945
Bowie,1199543
Brazoria,5114379
Brazos,2683570
Brewster,72203
Briscoe,4247
Brooks,35543
Brown,460589
Burleson,153672
Burnet,508546
Caldwell,219313
Calhoun,543359
Callahan,65980
Cameron,3018500
Camp,106606
Carson,40043
Cass,203849
Castro,41769
Chambers,924940
Cherokee,399605
Childress,40072
Clay,26809
Cochran,7376
Coke,7501
Coleman,42409
Collin,27911325
Collingsworth,17847
Colorado,250798
Comal,2120200
Comanche,90666
Concho,13456
Cooke,597238
Coryell,288911
Cottle,3102
Crane,62261
Crockett,57489
Crosby,21614
Culberson,35908
Dallam,66692
Dallas,94655456
Dawson,104464
Deaf Smith,237657
Delta,7311
Denton,10675697
DeWitt,242620
Dickens,8627
Dimmit,255790
Donley,9421
Duval,70728
Eastland,255103
Ector,3973956
Edwards,8060
Ellis,1908837
El Paso,8037141
Erath,457412
Falls,54638
Fannin,209418
Fayette,266683
Fisher,23176
Floyd,34886
Foard,4091
Fort Bend,8064962
Franklin,104342
Freestone,138967
Frio,261171
Gaines,294243
Galveston,3556259
Garza,49839
Gillespie,362888
Glasscock,35555
Goliad,42914
Gonzales,190342
Gray,274527
Grayson,1580711
Gregg,3009567
Grimes,285934
Guadalupe,1622729
Hale,395333
Hall,10219
Hamilton,56085
Hansford,46688
Hardeman,26939
Hardin,357696
Harris,136025727
Harrison,862718
Hartley,46667
Haskell,28716
Hays,2174550
Hemphill,112935
Henderson,502266
Hidalgo,5859143
Hill,268410
Hockley,396290
Hood,506601
Hopkins,369278
Houston,128651
Howard,438247
Hudspeth,16124
Hunt,1358126
Hutchinson,375777
Irion,28395
Jack,77799
Jackson,224898
Jasper,319506
Jeff Davis,11773
Jefferson,5270739
Jim Hogg,41270
Jim Wells,520380
Johnson,1596166
Jones,102181
Karnes,357065
Kaufman,1061142
Kendall,617715
Kenedy,10591
Kent,6171
Kerr,650963
Kimble,28075
Kinney,26579
Kleberg,227584
Knox,30165
Lamar,701554
Lamb,80926
Lampasas,141089
La Salle,84017
Lavaca,215190
Lee,301393
Leon,245221
Liberty,593476
Limestone,203295
Lipscomb,55291
Live Oak,204931
Llano,120736
Loving,1919
Lubbock,4468620
Lynn,29489
McCulloch,103256
McLennan,4231813
McMullen,50537
Madison,90665
Marion,57076
Martin,69606
Mason,24931
Matagorda,478415
Maverick,336690
Medina,264568
Menard,6040
Midland,7225543
Milam,183672
Mills,25703
Mitchell,52610
Montague,173928
Montgomery,9507066
Moore,366858
Morris,146818
Motley,4628
Nacogdoches,637205
Navarro,484436
Newton,25692
Nolan,229522
Nueces,6097933
Ochiltree,195842
Oldham,20717
Orange,956479
Palo Pinto,231126
Panola,287173
Parker,1324011
Parmer,155774
Pecos,179133
Polk,318663
Potter,2600177
Presidio,23725
Rains,45195
Randall,1402311
Reagan,123437
Real,15090
Red River,45779
Reeves,327416
Refugio,75818
Roberts,11581
Robertson,120063
Rockwall,1080854
Runnels,78617
Rusk,449533
Sabine,55987
San Augustine,45081
San Jacinto,32715
San Patricio,795079
San Saba,24434
Schleicher,25943
Scurry,255599
Shackelford,82231
Shelby,242042
Sherman,14342
Smith,3908883
Somervell,197000
Starr,188570
Stephens,85443
Sterling,15266
Stonewall,18914
Sutton,49137
Swisher,30256
Tarrant,40178984
Taylor,2120029
Terrell,1841
Terry,75311
Throckmorton,9333
Titus,533460
Tom Green,1666200
Travis,39690510
Trinity,55338
Tyler,64577
Upshur,178471
Upton,82688
Uvalde,237737
Val Verde,318611
Van Zandt,308420
Victoria,1523650
Walker,390571
Waller,553204
Ward,267510
Washington,454613
Webb,2397660
Wharton,435159
Wheeler,41359
Wichita,1692342
Wilbarger,112984
Willacy,68745
Williamson,8580799
Wilson,242089
Winkler,188565
Wise,886374
Wood,300575
Yoakum,133476
Young,244532
Zapata,54522
Zavala,37332
Statewide Texas,24737749
